"country","intercept","slope_age","slope_gender"
"Algeria",61.119470323637,-0.256829727465635,1.34062218548026
"Andorra",56.1252370396333,-0.142405685406729,3.00932944588125
"Argentina",53.1025039981857,-0.120974798294581,2.708318534467
"Armenia",54.3294942354606,-0.141608322575859,3.53638161643032
"Australia",54.6843545187535,-0.16048229088302,3.43238796860938
"Azerbaijan",51.1123865434609,-0.115925569977973,5.58587424314704
"Belarus",54.5776373689137,-0.174612243510097,3.47226229022507
"Brazil",49.6246434029703,-0.105372502113039,2.42913189648868
"Bulgaria",54.2799516463918,-0.126368148252141,1.65328073628354
"Burkina Faso",51.9500881650719,-0.0388040159006343,2.80878431280274
"Canada",55.1552366511552,-0.155518913641773,3.61295036608528
"Chile",56.8680528081954,-0.178178867784092,2.53777005218304
"China",52.701983016108,-0.159186079730572,1.62287563193348
"Colombia",51.9806072557418,-0.104630477288001,3.69128989694743
"Cyprus (G)",58.2076541389405,-0.192286035847604,3.06498249628096
"Ecuador",57.712210749238,-0.108851756222092,1.36191279580648
"Egypt",48.1198466290589,-0.0554643345635518,1.3684025794442
"Estonia",54.7608577778341,-0.168388301158092,2.35451886274185
"Ethiopia",54.8480478894088,-0.0734968803920681,0.351752433100764
"Finland",52.1185393087145,-0.124159803081267,1.85783058959654
"France",53.4701549426017,-0.149203102111204,3.49252145964331
"Georgia",50.7965751081516,-0.0786534764069006,4.06181949530362
"Germany",53.0197245811688,-0.177605985011046,2.79859047462495
"Ghana",57.2534585088711,-0.0409114964432201,1.26207785799136
"Great Britain",52.8076436055766,-0.114366709834239,4.49598002510731
"Haiti",53.0151117779231,-0.184331926236878,-0.112823199623527
"Hong Kong",51.0384080105208,-0.119394459930671,3.22532287481586
"Hungary",55.0277417749154,-0.191691659224129,2.26494919307197
"India",54.467142636473,-0.0560397214580852,1.54113914135309
"Indonesia",55.4946019232714,-0.0783797370593813,3.00008987033113
"Iran",56.4854383663545,-0.179025099119578,1.97037093672109
"Iraq",53.4997515271189,-0.121630300285968,1.82938670520063
"Japan",44.6259634818108,-0.0443057698186285,2.15566993896875
"Jordan",59.1560721390352,-0.151834625949268,2.38359510930983
"Kazakhstan",51.4417376645142,-0.110758514922527,1.84947359544975
"Kuwait",60.6444104226196,-0.237748406992435,1.83788566210614
"Kyrgyzstan",52.8501235391856,-0.0266820763307998,0.967725980831639
"Lebanon",57.9859244536702,-0.130136978337637,2.35232589567077
"Libya",56.413069095975,-0.178269415706885,3.31516834560647
"Malaysia",51.6296042757127,-0.0842113459007486,1.57810463463555
"Mali",55.2630942471623,-0.0365412954231731,0.565680417483337
"Mexico",50.7875865550201,-0.100725260759785,3.18913875074898
"Moldova",54.0455086192635,-0.148206936669708,0.594642026275477
"Morocco",54.0469508334072,-0.135554928450883,2.79134704746958
"Netherlands",51.7137298640747,-0.129575130870931,3.13036641340639
"New Zealand",57.1176320465407,-0.172266744193347,1.9450565953732
"Nigeria",58.3905904774913,-0.0164858362723959,0.702302214847817
"Norway",58.6064266091435,-0.17855704839545,0.922687143618854
"Pakistan",55.150871164401,-0.0121673816083318,1.17295446089921
"Palestine",55.7949934440229,-0.168381428292272,2.99287928054355
"Peru",49.9157053815861,-0.0960036367907347,3.19193330941028
"Philippines",56.3358338947933,-0.0403127601569864,0.766812435760028
"Poland",55.9477536254752,-0.130626594793763,2.99436966870265
"Qatar",52.7354727278158,-0.0938631584057391,3.86819881996632
"Romania",51.8975602663841,-0.133383447045582,2.67404259230114
"Russia",53.901417828332,-0.100626239905106,2.16853014463847
"Rwanda",53.3894102985117,-0.0205647210564589,0.630517790199528
"Singapore",55.6782158781225,-0.0900645953745093,1.96463062264719
"Slovenia",57.5619144509933,-0.22407573964475,2.86978497452397
"South Africa",57.5884103714438,-0.0813107300985688,1.01483648323938
"South Korea",58.2816761459041,-0.154164347270212,1.3076718490127
"Spain",56.9894488988155,-0.16118477836997,1.5264496655191
"Sweden",54.7387035562211,-0.148890517057327,2.67782410219924
"Switzerland",50.1412460234348,-0.0933152235713033,3.75396572575053
"Taiwan",51.495789517705,-0.171452852076443,2.34676295241469
"Thailand",53.1881547717397,-0.0625169963141549,0.750486913220131
"Trinidad and Tobago",55.3218453443395,-0.13030114761273,2.78075795995513
"Tunisia",58.0375315879487,-0.261782473319358,3.20649242654272
"Turkey",55.3794085932887,-0.136925784178363,2.3241848097617
"Ukraine",53.6152925873754,-0.157337616512795,2.63389118144872
"United States",54.1878948789801,-0.142798837361562,2.55545922829442
"Uruguay",50.8390032075116,-0.123068679876829,1.90828206620473
"Uzbekistan",52.5363364665395,-0.0531738871615698,2.7969274066929
"Viet Nam",48.0970229629831,-0.0660153203298753,2.76650602889963
"Yemen",48.5273163668245,-0.120709441507404,2.34676284475288
"Zambia",54.9398076826149,-0.0782139404327388,1.94395589001529
"Zimbabwe",53.2763310638881,-0.0891958180636733,3.74345417427763
